Marital status,Application mode,Application order,Course,Daytime/evening attendance	,Previous qualification,PQ_student_encoded,PQ_student_named,Previous qualification /10,Nacionality,Mother's qualification,MQ_encoded,MQ_encoded,MQ_named,Father's qualification,FQ_encoded,FQ_named,Mother's occupation,MO_encoded,MO_named,1000,Father's occupation,FO_encoded,FO_named,Salaire_père,Revenu_foyer,Admission grade,Displaced,Educational special needs,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,International,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),"CU 1st sem (grade, number)",Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),"CU 2nd sem (grade, number)",Curricular units 2nd sem (without evaluations),Year,Unemployment rate,Inflation rate,GDP,Target
1,17,5,171,1.00,1,3,Lycée terminé,"12,2",1,19,3,3,Lycée,12,3,Lycée,5,5,Employés,1350,9,6,Ouvriers,900,2250,"12,73",1,0,0,1,1,0,20,0,0,0,0,0,"0,00",0,0,0,0,"0,00",0,2010,"10,8","1,4","1,74",Dropout
1,15,1,9254,1.00,1,3,Lycée terminé,"16,0",1,1,3,3,Lycée,3,4,Licence,3,4,Professions intermédiaires,900,3,4,Professions intermédiaires,1350,2250,"14,25",1,0,0,0,1,0,19,0,0,6,6,6,"14,00",0,6,6,6,"13,67",0,2014,"13,9","-0,3","0,79",Graduate
1,1,5,9070,1.00,1,3,Lycée terminé,"12,2",1,37,2,2,Collège,37,2,Collège,9,6,Ouvriers,1000,9,6,Ouvriers,900,1900,"12,48",1,0,0,0,1,0,19,0,0,6,0,0,"0,00",0,6,0,0,"0,00",0,2010,"10,8","1,4","1,74",Dropout
1,17,2,9773,1.00,1,3,Lycée terminé,"12,2",1,38,2,2,Collège,37,2,Collège,5,5,Employés,900,3,4,Professions intermédiaires,1350,2250,"11,96",1,0,0,1,0,0,20,0,0,6,8,6,"13,43",0,6,10,5,"12,40",0,2009,"9,4","-0,8","-3,12",Graduate
2,39,1,8014,0.00,1,3,Lycée terminé,"10,0",1,37,2,2,Collège,38,2,Collège,9,6,Ouvriers,900,9,6,Ouvriers,900,1800,"14,15",0,0,0,1,0,0,45,0,0,6,9,5,"12,33",0,6,6,6,"13,00",0,2014,"13,9","-0,3","0,79",Graduate
2,39,1,9991,0.00,19,3,Lycée terminé,"13,3",1,37,2,2,Collège,37,2,Collège,9,6,Ouvriers,1300,7,6,Ouvriers,1300,2600,"11,48",0,0,1,1,1,0,50,0,0,5,10,5,"11,86",0,5,17,5,"11,50",1,2013,"16,2","0,3","-0,92",Graduate
1,1,1,9500,1.00,1,3,Lycée terminé,"14,2",1,19,3,3,Lycée,38,2,Collège,7,6,Ouvriers,900,10,5,Employés,1200,2100,"12,84",1,0,0,1,0,1,18,0,0,7,9,7,"13,30",0,8,8,8,"14,35",0,2012,"15,5","2,8","-4,06",Graduate
1,18,4,9254,1.00,1,3,Lycée terminé,"11,9",1,37,2,2,Collège,37,2,Collège,9,6,Ouvriers,900,9,6,Ouvriers,900,1800,"11,31",1,0,0,0,1,0,22,0,0,5,5,0,"0,00",0,5,5,0,"0,00",0,2012,"15,5","2,8","-4,06",Dropout
1,1,3,9238,1.00,1,3,Lycée terminé,"13,7",62,1,3,3,Lycée,1,3,Lycée,9,6,Ouvriers,1200,9,6,Ouvriers,900,2100,"12,93",0,0,0,1,0,1,21,1,0,6,8,6,"13,88",0,6,7,6,"14,14",0,2013,"16,2","0,3","-0,92",Graduate
1,1,1,9238,1.00,1,3,Lycée terminé,"13,8",1,1,3,3,Lycée,19,3,Lycée,4,5,Employés,1000,7,6,Ouvriers,1300,2300,"12,30",1,0,1,0,0,0,18,0,0,6,9,5,"11,40",0,6,14,2,"13,50",0,2017,"8,9","1,4","3,51",Dropout
1,1,1,9670,1.00,1,3,Lycée terminé,"13,9",1,38,2,2,Collège,19,3,Lycée,5,5,Employés,900,7,6,Ouvriers,1300,2200,"13,06",1,0,0,1,0,0,18,0,0,6,6,6,"12,33",0,6,7,5,"14,20",0,2014,"13,9","-0,3","0,79",Graduate
1,1,1,9500,1.00,1,3,Lycée terminé,"13,6",1,19,3,3,Lycée,38,2,Collège,9,6,Ouvriers,1200,9,6,Ouvriers,900,2100,"11,93",1,0,0,1,0,1,18,0,0,8,8,7,"13,21",0,8,8,7,"13,21",0,2011,"12,7","3,7","-1,7",Graduate
1,1,2,9853,1.00,1,3,Lycée terminé,"13,3",1,19,3,3,Lycée,37,2,Collège,4,5,Employés,1200,9,6,Ouvriers,900,2100,"13,02",1,0,0,1,0,0,19,0,0,6,6,0,"0,00",0,6,0,0,"0,00",0,2011,"12,7","3,7","-1,7",Dropout
1,53,1,9254,1.00,42,3,Lycée professionnel et technologique,"11,0",1,1,3,3,Lycée,1,3,Lycée,4,5,Employés,1000,7,6,Ouvriers,1300,2300,"11,18",1,0,0,1,0,1,21,0,0,6,7,6,"10,57",0,6,8,5,"11,00",0,2017,"8,9","1,4","3,51",Graduate
1,1,1,9085,1.00,1,3,Lycée terminé,"14,9",1,38,2,2,Collège,37,2,Collège,5,5,Employés,900,5,5,Employés,1000,1900,"13,71",1,0,0,1,0,1,18,0,0,5,7,4,"13,25",0,5,5,5,"12,00",0,2010,"10,8","1,4","1,74",Graduate
1,1,1,9773,1.00,1,3,Lycée terminé,"12,7",1,19,3,3,Lycée,37,2,Collège,9,6,Ouvriers,1000,3,4,Professions intermédiaires,1350,2350,"12,07",1,0,0,1,0,0,20,0,0,6,6,5,"13,20",0,6,7,0,"0,00",0,2012,"15,5","2,8","-4,06",Dropout
1,18,1,9238,1.00,1,3,Lycée terminé,"13,7",1,19,3,3,Lycée,38,2,Collège,5,5,Employés,1000,8,6,Ouvriers,1200,2200,"13,74",1,0,0,1,0,0,18,0,0,6,10,1,"12,00",0,6,14,2,"11,00",0,2010,"10,8","1,4","1,74",Enrolled
